Structure,timesteps,loss,metrics,vector_size,avg_epochs,avg_loss,avg_valid_loss,avg_test_loss_0,avg_test_loss_1
lstm->lstm,,,,,,,,,
,128,mse,mse,{'units': 8},40,0.001683482,0.001850539,0.002504327,0.001346709
,128,mae,mse,{'units': 1},40,0.051855904,0.052747461,0.101417241,0.080267034
,128,mae,mse,{'units': 2},40,0.046793267,0.048109217,0.075321943,0.059170704
,128,mae,mse,{'units': 4},40,0.035954329,0.037315778,0.049712458,0.038084202
,128,mae,mse,{'units': 8},40,0.021745383,0.02281272,0.028074335,0.021280692
conv1d->lstm,,,,,,,,,
,16,mse,mse,{'filters': 1},21.33333333,0.005413462,0.005662031,0.017192769,0.010539868
,16,mse,mse,{'filters': 2},27.33333333,0.004067136,0.004269364,0.007554411,0.004835855
,16,mse,mse,{'filters': 4},38,0.015067669,0.014983349,0.011761555,0.011148353
,16,mse,mse,{'filters': 8},40,0.000982179,0.00099147,0.001507824,0.000778277
,16,mae,mse,{'filters': 1},25.66666667,0.051281383,0.052304062,0.100403346,0.081522226
,16,mae,mse,{'filters': 2},30,0.044118958,0.045362137,0.083318389,0.066706092
,16,mae,mse,{'filters': 4},37.33333333,0.03088414,0.032956657,0.045254871,0.035327928
,16,mae,mse,{'filters': 8},38.33333333,0.020459414,0.020943848,0.030263408,0.023515813
,32,mse,mse,{'filters': 1},27.66666667,0.005335514,0.005606229,0.017529822,0.010733997
,32,mse,mse,{'filters': 2},40,0.003956444,0.004210378,0.008669752,0.005800205
,32,mse,mse,{'filters': 4},40,0.002136183,0.002325953,0.003899048,0.002338909
,32,mse,mse,{'filters': 8},40,0.000942119,0.000969361,0.001735049,0.000931506
,32,mae,mse,{'filters': 1},25.33333333,0.051016378,0.052002179,0.100916475,0.081929428
,32,mae,mse,{'filters': 2},35.66666667,0.041787556,0.043358807,0.060991397,0.047026597
,32,mae,mse,{'filters': 4},40,0.030571342,0.032907472,0.046194341,0.035965419
,32,mae,mse,{'filters': 8},40,0.020402964,0.020916684,0.03184859,0.025200499
,64,mse,mse,{'filters': 1},40,0.005268706,0.005582163,0.017585723,0.010664312
,64,mse,mse,{'filters': 2},40,0.004074261,0.004365166,0.009621314,0.006097045
,64,mse,mse,{'filters': 4},40,0.00246572,0.002704154,0.004958019,0.002790237
,64,mse,mse,{'filters': 8},40,0.001325462,0.001395508,0.003162519,0.001834201
,64,mae,mse,{'filters': 1},37,0.050831305,0.051963905,0.101565952,0.082560758
,64,mae,mse,{'filters': 2},39,0.044190442,0.045355187,0.085074889,0.067503038
,64,mae,mse,{'filters': 4},40,0.031485658,0.033658996,0.049446091,0.038484784
,64,mae,mse,{'filters': 8},40,0.024287021,0.025430543,0.036226075,0.028186636
,128,mse,mse,{'filters': 1},40,0.005641125,0.005903423,0.017896526,0.010706217
,128,mse,mse,{'filters': 2},40,0.004697168,0.00496485,0.016104966,0.009582498
,128,mse,mse,{'filters': 4},40,0.003283173,0.003529412,0.008883001,0.005562454
,128,mse,mse,{'filters': 8},40,0.002697309,0.002896519,0.007419568,0.004607966
,128,mae,mse,{'filters': 1},40,0.05177228,0.053002981,0.101772249,0.082043896
,128,mae,mse,{'filters': 2},40,0.046091929,0.047498894,0.095765017,0.07719181
,128,mae,mse,{'filters': 4},40,0.0343386,0.036254135,0.054769893,0.041899495
,128,mae,mse,{'filters': 8},40,0.029166916,0.030441963,0.046455185,0.036439999
